CompanyName,BusinessType,County,Turnover,AllTax,EmployeeTax,Employees
PÄÄSTEAMET,Valitsus- ja riigiasutus,Harju maakond,1831891.84,1520957.75,2074472.37,0.01
HARIDUS- JA TEADUSMINISTEERIUM,Valitsus- ja riigiasutus,Tartu maakond,1367637.63,1416782.64,0.01,313
SAINT-GOBAIN GLASS ESTONIA SE,Äriühing,Tartu maakond,1429588.24,1388235.08,21734340.85,539
TAMRO EESTI OÜ,Äriühing,Harju maakond,1995755.26,286799.22,46120770.24,96
TALLINNA LINNATRANSPORDI AS,Äriühing,Harju maakond,1951740.82,3297203.84,1523698.82,"1,784"
WENDRE AS,Äriühing,Pärnu maakond,1927852.2,1419535.73,29556374.41,914
"TREV-2 GRUPP, AS",Äriühing,Harju maakond,1823294.84,888915.04,7569881.72,346
"WÜRTH, AS",Äriühing,Harju maakond,1781911.35,669483.1,8887551.01,180
ELEKTRUM EESTI OÜ,Äriühing,Harju maakond,1751218.63,54082.75,20036633.34,21
STOCKMANN AS,Äriühing,Harju maakond,1747431.42,581868.49,16313279.4,416
H&M HENNES & MAURITZ OÜ,Äriühing,Harju maakond,1727698.58,381064.03,13702517.32,331
MAKSU- JA TOLLIAMET,Valitsus- ja riigiasutus,Harju maakond,1060714.68,1125656.2,64817.92,"1,404"
"NCC & PO, AS",Äriühing,Harju maakond,1716289.6,15518.76,118088.99,10
BAUHOF GROUP AS,Äriühing,Harju maakond,1703486.26,940643.46,19257700.12,466
"IDA-VIRU KESKHAIGLA, SIHTASUTUS",Sihtasutus,Ida-Viru maakond,1683249.47,1788278.22,123950.52,"1,181"
SANDERS EESTI FILIAAL,Äriühing,Harju maakond,1678312.48,0.01,9131281.21,0.01
SOL BALTICS OÜ,Äriühing,Harju maakond,1676490.12,1093089.05,4880007.19,"1,697"
AR AGENTUURI AS,Äriühing,Harju maakond,1671008.88,38472.51,357759.75,26
"MV EESTI, OÜ",Äriühing,Harju maakond,1647480.08,23552.99,2214188.53,12
USS SECURITY EESTI AS,Äriühing,Harju maakond,1639132.27,1082790.45,3789304.04,"1,026"
VKG OIL AS,Äriühing,Ida-Viru maakond,1631021.97,1292411.55,0.01,685
"ISS EESTI, AS",Äriühing,Harju maakond,1616559.46,1111815.17,5903499.51,"1,620"
UPM-KYMMENE OTEPÄÄ AS,Äriühing,Valga maakond,1610273.51,499379.96,14888107.75,248
"AL MARE AUTO, OÜ",Äriühing,Harju maakond,1609520.36,88534.59,14606169.84,16
"TELEGRUPP, AS",Äriühing,Harju maakond,1601228.31,234549.2,6288781.28,94
PÕLDMA KAUBANDUSE AS,Äriühing,Harju maakond,1565442.65,539299.64,14944480.23,317
"REMEDIA, AS",Äriühing,Harju maakond,1531699.6,65460.45,2045491.94,37
KAITSELIIT,Valitsus- ja riigiasutus,Harju maakond,1716661.02,1811937.26,86222.44,890
OSAÜHING OSULA GRAANUL,Äriühing,Harju maakond,1480083.76,80574.33,11699946.65,31
"OG ELEKTRA, AS",Äriühing,Lääne-Viru maakond,1470907.23,1009066,28995013.81,"1,215"
"YIT EHITUS, AS",Äriühing,Harju maakond,1467799.18,391062.12,18163474.89,91
FRESELLE CUSTOMS AGENCY OÜ,Äriühing,Harju maakond,1464574.35,19346.57,122197.39,10
NORDECON AS,Äriühing,Harju maakond,1463147.07,990502.86,31885844.79,265
"MECRO, AS",Äriühing,Harju maakond,1460330.21,716058.83,24872529.66,237
STORA ENSO EESTI AS,Äriühing,Harju maakond,1452462.11,1525267.14,50354959.42,612
"KARLSKROONA, OÜ",Äriühing,Harju maakond,1447132.82,166382.69,9685589.59,96
OPTIMERA ESTONIA AS,Äriühing,Harju maakond,1440186.66,656124.75,16893120.24,388
KLICK EESTI AS,Äriühing,Harju maakond,1439824.89,272654.21,12443460.04,133
RAMIRENT BALTIC AS,Äriühing,Harju maakond,1431522.65,450573.03,5159890.16,152
DANSKE BANK A/S EESTI FILIAAL,Äriühing,Harju maakond,1427345.61,1499724.29,8137102.49,359
NORTAL AS,Äriühing,Harju maakond,1426220.77,994053.02,8609633.24,265
ADVEN EESTI AS,Äriühing,Harju maakond,1422152.55,226136.55,8998788.8,74
"INCHCAPE MOTORS ESTONIA, OÜ",Äriühing,Harju maakond,1402592.94,304599.37,12050939.5,68
